Age,Ache,Agta,Hadza,Hiwi,!Kung,HG Mean,Aborigine,Gainj,Tsimane,Yanomamo,Herero,NF Mean,H.s. Mean,Gombe,Kanyawara,Mahale,Ngogo,Tai,P.t. Mean,Gambia,Taronga
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0387
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0515
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0635
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0966
10,0,0,0,0,0,0,0.0092,0,0,0,0,0.0019,0.0009,0,0.0188,0.0337,0.0188,0.0359,0.0214,0.0231,0.1163
11,0,0,0,0,0,0,0.0188,0,0,0,0,0.0038,0.0019,0.0259,0.0366,0.0629,0.0366,0.065,0.0428,0.0549,0.1339
12,0.0121,0,0,0.0112,0,0.0047,0.0283,0,0.0189,0,0,0.0094,0.007,0.0484,0.0534,0.0878,0.0534,0.089,0.0614,0.078,0.1463
13,0.0248,0,0,0.0224,0,0.0095,0.038,0,0.038,0,0,0.0152,0.0123,0.0673,0.0692,0.1079,0.0692,0.1066,0.0771,0.0889,0.1493
14,0.038,0,0.0202,0.0337,0,0.0184,0.0484,0,0.0573,0,0,0.0212,0.0198,0.0825,0.0839,0.1231,0.0839,0.1169,0.0896,0.096,0.1436
15,0.0512,0.034,0.0389,0.045,0,0.0338,0.0587,0,0.0759,0.1505,0.0521,0.0675,0.0506,0.0944,0.0977,0.1341,0.0977,0.1218,0.0995,0.1001,0.134
16,0.0643,0.0463,0.056,0.0562,0.0217,0.0489,0.0683,0,0.0939,0.1827,0.0648,0.082,0.0654,0.1033,0.1104,0.1417,0.1104,0.1232,0.1072,0.102,0.1253
17,0.0779,0.059,0.0716,0.0677,0.0413,0.0635,0.0763,0,0.1119,0.2059,0.0751,0.0939,0.0787,0.1096,0.1221,0.1463,0.1221,0.1228,0.1134,0.1024,0.122
18,0.0903,0.0727,0.0855,0.0784,0.0585,0.0771,0.0833,0,0.1276,0.2172,0.0827,0.1021,0.0896,0.112,0.1333,0.1464,0.1333,0.1188,0.1173,0.0984,0.1258
19,0.1075,0.0872,0.0979,0.0912,0.0733,0.0914,0.0894,0,0.1451,0.2166,0.0875,0.1078,0.0996,0.1101,0.144,0.1414,0.144,0.1099,0.1186,0.0887,0.1335
20,0.1243,0.102,0.1086,0.1032,0.0862,0.1048,0.0943,0.043,0.1609,0.2085,0.0902,0.1194,0.1121,0.1062,0.1534,0.134,0.1534,0.0993,0.1183,0.0772,0.1428
21,0.1335,0.1162,0.1176,0.1113,0.0968,0.1151,0.0973,0.0558,0.1721,0.197,0.0912,0.1227,0.1189,0.1021,0.1609,0.1266,0.1609,0.0903,0.1177,0.0675,0.1511
22,0.1397,0.1293,0.1251,0.1181,0.1052,0.1235,0.098,0.0678,0.1823,0.1863,0.0912,0.1252,0.1243,0.1,0.1659,0.122,0.1659,0.0861,0.1177,0.0634,0.1561
23,0.1443,0.1425,0.1306,0.1231,0.1113,0.1303,0.0965,0.0794,0.1885,0.1746,0.0899,0.1258,0.128,0.1001,0.1683,0.1211,0.1683,0.0851,0.1183,0.0675,0.1574
24,0.1441,0.1565,0.1344,0.1237,0.111,0.134,0.0937,0.0906,0.1861,0.1589,0.0867,0.1232,0.1286,0.1008,0.1689,0.1223,0.1689,0.084,0.1186,0.0772,0.1565
25,0.1427,0.169,0.137,0.123,0.1092,0.1362,0.09,0.1008,0.1817,0.1421,0.0823,0.1194,0.1278,0.1015,0.1671,0.124,0.1671,0.0829,0.1181,0.0887,0.1541
26,0.1437,0.1777,0.1382,0.1224,0.1134,0.1391,0.0861,0.1097,0.178,0.1274,0.0771,0.1157,0.1274,0.1014,0.163,0.1244,0.163,0.0825,0.1164,0.0984,0.1505
27,0.1441,0.1805,0.1381,0.1208,0.1169,0.1401,0.0824,0.1166,0.1721,0.1176,0.0717,0.1121,0.1261,0.0998,0.1561,0.122,0.1561,0.083,0.1132,0.1024,0.1463
28,0.1446,0.1748,0.1369,0.1193,0.1184,0.1388,0.0792,0.122,0.1673,0.1142,0.0654,0.1096,0.1242,0.0963,0.1443,0.1153,0.1443,0.0847,0.1071,0.1035,0.1416
29,0.1452,0.1621,0.1346,0.1174,0.1177,0.1354,0.076,0.1263,0.1644,0.1156,0.0578,0.108,0.1217,0.0912,0.1279,0.1055,0.1279,0.0873,0.0986,0.1059,0.1361
30,0.1458,0.1462,0.1314,0.1166,0.1085,0.1297,0.0726,0.1289,0.1616,0.119,0.05,0.1064,0.118,0.0854,0.11,0.0945,0.11,0.0905,0.0893,0.1088,0.1295
31,0.1476,0.1307,0.1272,0.1162,0.0975,0.1239,0.069,0.1289,0.1592,0.122,0.0428,0.1043,0.1141,0.0798,0.0939,0.0847,0.0939,0.0939,0.0811,0.1112,0.1216
32,0.1499,0.1195,0.1224,0.1135,0.087,0.1184,0.0649,0.1259,0.1571,0.122,0.0373,0.1014,0.11,0.075,0.0829,0.078,0.0829,0.097,0.0755,0.1122,0.1122
33,0.1505,0.113,0.1165,0.1067,0.0764,0.1126,0.0601,0.1183,0.1543,0.1188,0.034,0.0971,0.1049,0.0706,0.0787,0.0758,0.0787,0.1012,0.0738,0.1023,0.1
34,0.1494,0.1087,0.1103,0.0984,0.0674,0.1068,0.0548,0.1067,0.151,0.1142,0.032,0.0918,0.0993,0.0659,0.0791,0.0765,0.0791,0.1066,0.0747,0.0781,0.085
35,0.1472,0.1059,0.1035,0.0872,0.0586,0.1005,0.0492,0.0932,0.1472,0.1085,0.0309,0.0858,0.0931,0.0619,0.0815,0.0784,0.0815,0.1115,0.0766,0,0.0694
36,0.1432,0.1037,0.0962,0.0757,0.0529,0.0943,0.0438,0.0797,0.1439,0.1019,0.0299,0.0798,0.0871,0.0595,0.0836,0.0795,0.0836,0.1138,0.0779,0,0.055
37,0.138,0.1015,0.0886,0.066,0.0482,0.0884,0.039,0.0683,0.1407,0.0946,0.0283,0.0742,0.0813,0.0596,0.0829,0.078,0.0829,0.1118,0.0769,0,0.0439
38,0.1328,0.1007,0.0807,0.057,0.0441,0.0831,0.0349,0.059,0.1354,0.0864,0.0261,0.0684,0.0757,0.064,0.0783,0.0736,0.0783,0.1022,0.0727,0,0.0363
39,0.1282,0.102,0.0725,0.0522,0.0403,0.079,0.0311,0.0505,0.128,0.0772,0.0238,0.0621,0.0706,0.0719,0.0715,0.0673,0.0715,0.0864,0.0663,0,0.0306
40,0.1223,0.1028,0.0643,0.0491,0.0346,0.0746,0.0277,0.0427,0.1191,0.0672,0.0214,0.0556,0.0651,0.0807,0.064,0.0599,0.064,0.0691,0.0593,0,0.026
41,0.114,0.101,0.0561,0.0442,0.0289,0.0688,0.0244,0.0358,0.1058,0.0571,0.0189,0.0484,0.0586,0.0877,0.0575,0.0519,0.0575,0.0549,0.0529,0,0.0218
42,0.1041,0.0941,0.0478,0.0381,0.0238,0.0616,0.0212,0.0298,0.0897,0.0473,0.0163,0.0408,0.0512,0.0902,0.0537,0.0439,0.0537,0.0485,0.0487,0,0.0171
43,0.093,0.0822,0.04,0.0317,0.0188,0.0532,0.018,0.025,0.076,0.0379,0.0136,0.0341,0.0436,0.0881,0.0538,0.0359,0.0538,0.0542,0.0481,0,0.0123
44,0.0808,0.0669,0.0327,0.0248,0.0139,0.0438,0.0151,0.0214,0.0643,0.0284,0.0107,0.028,0.0359,0.0832,0.0566,0.0275,0.0566,0.069,0.0501,0,0.0083
45,0.0673,0,0.0256,0.0175,0.0091,0.0239,0.0122,0.0184,0.0528,0.0189,0.0078,0.022,0.023,0.0756,0.0604,0,0.0604,0.0863,0.0488,0,0
46,0.0524,0,0.0187,0.0094,0.0045,0.017,0.0096,0.0156,0.0416,0,0.0052,0.0144,0.0157,0.0655,0.0633,0,0.0633,0.0996,0.0517,0,0
47,0.0363,0,0.0122,0,0,0.0097,0.007,0.0122,0.0303,0,0.0032,0.0105,0.0101,0.0529,0.0634,0,0.0634,0.1022,0.051,0,0
48,0.0187,0,0.0059,0,0,0.0049,0.0045,0.0083,0.0196,0,0.0017,0.0068,0.0059,0.0378,0.0605,0,0.0605,0.0933,0.0465,0,0
49,0,0,0,0,0,0,0.0022,0.0042,0.0095,0,0.0007,0.0033,0.0017,0.0202,0.0561,0,0.0561,0.0783,0.0401,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
